group	x	xend	y	yend
103	702252.5	781651.5	0.0472445361394938	0.0472445361394938
104	781651.5	783653.5	1.60748979304342	1.60748979304342
105	783653.5	800000.5	-0.574251783422464	-0.574251783422464
106	0.5	89075.5	-1.10924036827871	-1.10924036827871
107	89075.5	89742.5	2.49736764239772	2.49736764239772
108	89742.5	100417.5	-1.02095032844506	-1.02095032844506
109	100417.5	297915.5	0.03513537713591	0.03513537713591
110	297915.5	323937.5	1.13692241146928	1.13692241146928
111	323937.5	324604.5	4.70191904061901	4.70191904061901
112	324604.5	400000.5	1.06125450660328	1.06125450660328
113	400000.5	480067.5	0.184587616983238	0.184587616983238
114	480067.5	484070.5	-1.33117106834256	-1.33117106834256
115	484070.5	485405.5	1.5834998676926	1.5834998676926
116	485405.5	500083.5	-0.267024744431564	-0.267024744431564
117	500083.5	702252.5	0.952005434462724	0.952005434462724
118	702252.5	781651.5	0.0472445361394938	0.0472445361394938
119	781651.5	783653.5	1.60748979304342	1.60748979304342
120	783653.5	800000.5	-0.574251783422464	-0.574251783422464
121	0.5	89075.5	-1.10924036827871	-1.10924036827871
122	89075.5	89742.5	2.49736764239772	2.49736764239772
123	89742.5	100417.5	-1.02095032844506	-1.02095032844506
124	100417.5	297915.5	0.03513537713591	0.03513537713591
125	297915.5	323937.5	1.13692241146928	1.13692241146928
126	323937.5	324604.5	4.70191904061901	4.70191904061901
127	324604.5	400000.5	1.06125450660328	1.06125450660328
128	400000.5	480067.5	0.184587616983238	0.184587616983238
129	480067.5	483403.5	-1.46699781272221	-1.46699781272221
130	483403.5	502085.5	-0.0758014627939356	-0.0758014627939356
131	502085.5	641534.5	1.001400394999	1.001400394999
132	641534.5	642869.5	-1.45704820797119	-1.45704820797119
133	642869.5	702252.5	0.908336173854299	0.908336173854299
134	702252.5	781651.5	0.0472445361394938	0.0472445361394938
135	781651.5	783653.5	1.60748979304342	1.60748979304342
136	783653.5	800000.5	-0.574251783422464	-0.574251783422464
